time,azimuth,fx1,fy1,fz1,mx1,my1,mz1,fx2,fy2,fz2,mx2,my2,mz2,fx3,fy3,fz3,mx3,my3,mz3,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Fx3,Fy3,Fz3,Mx3,My3,Mz3,Gauge1,Gauge2,Gauge3,Gauge4,Gauge5,Gauge6,Gauge7,
0.18000,55.55954,62.24417,10.57076,-15.41484,-1.24558,43.93181,23.55643,48.66344,-9.38333,-0.72867,8.55380,44.23315,1.71845,61.99805,8.01712,16.76338,-4.02737,85.90355,-25.67391,62.24417,-6.73456,-17.43571,-1.24558,44.27294,-22.90886,48.66344,9.29875,1.45297,8.55380,-43.96733,-5.13796,61.99805,-11.66390,14.46509,-4.02737,60.22438,66.41982,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.18500,57.10286,62.22940,10.14488,-15.68332,-0.65780,43.46606,23.97794,48.61446,-9.37706,-0.47455,8.63238,44.70045,1.12064,62.00652,8.46927,16.54836,-4.81784,85.70978,-25.33632,62.22940,-7.65844,-17.03624,-0.65780,43.74084,-23.47295,48.61446,9.34109,0.94789,8.63238,-44.58667,-3.37851,62.00652,-10.87268,15.07851,-4.81784,61.60261,64.75503,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.19000,58.64619,62.21560,9.71273,-15.94088,-0.07988,43.01486,24.38219,48.59778,-9.37850,-0.22164,8.72477,45.19951,0.52365,62.01767,8.91645,16.32261,-5.60275,85.50263,-24.98149,62.21560,-8.55930,-16.58877,-0.07988,43.20322,-24.04685,48.59778,9.37065,0.44316,8.72477,-45.17452,-1.59140,62.01767,-10.05013,15.65010,-5.60275,62.91359,63.06072,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.19500,60.18951,62.20326,9.27465,-16.18758,0.48761,42.57876,24.76916,48.61444,-9.38799,0.03105,8.83145,45.73201,-0.07333,62.03469,9.35970,16.08835,-6.38185,85.28654,-24.61085,62.20326,-9.43481,-16.09475,0.48761,42.65887,-24.63094,48.61444,9.38783,-0.06210,8.83145,-45.73152,0.22459,62.03469,-9.19960,16.18043,-6.38185,64.16014,61.34300,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.20000,61.73283,62.19397,8.83125,-16.42395,1.04436,42.15888,25.13951,48.66460,-9.40548,0.28454,8.95259,46.29886,-0.67116,62.05066,9.79620,15.84110,-7.15229,85.05208,-24.22182,62.19397,-10.28304,-15.55623,1.04436,42.10735,-25.22572,48.66460,9.39257,-0.56882,8.95259,-46.25739,2.07088,62.05066,-8.32061,16.66354,-7.15229,65.33480,59.59795,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.20500,63.27615,62.18521,8.38195,-16.64838,1.58970,41.75384,25.49189,48.74794,-9.43103,0.53985,9.08848,46.90051,-1.27069,62.06501,10.22499,15.58019,-7.91213,84.79880,-23.81459,62.18521,-11.10079,-14.97325,1.58970,41.54528,-25.83040,48.74794,9.38476,-1.07794,9.08848,-46.75124,3.94890,62.06501,-7.41540,17.09692,-7.91213,66.43682,57.82837,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.21000,64.81947,62.17671,7.92709,-16.86078,2.12298,41.36384,25.82585,48.86325,-9.46422,0.79797,9.23903,47.53652,-1.87270,62.07952,10.64682,15.30766,-8.66090,84.52917,-23.39002,62.17671,-11.88578,-14.34757,2.12298,40.97081,-26.44493,48.86325,9.36372,-1.59030,9.23903,-47.21111,5.85992,62.07952,-6.48765,17.48112,-8.66090,67.46768,56.03914,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.21500,66.36279,62.16797,7.46681,-17.06065,2.64361,40.98885,26.14093,49.01109,-9.50513,1.05992,9.40462,48.20817,-2.47800,62.09424,11.06137,15.02370,-9.39731,84.24349,-22.94842,62.16797,-12.63553,-13.68073,2.64361,40.38201,-27.06893,49.01109,9.32911,-2.10678,9.40462,-47.63659,7.80534,62.09424,-5.54003,17.81498,-9.39731,68.42751,54.23349,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.22000,67.90611,62.15930,7.00153,-17.24797,3.15113,40.62926,26.43710,49.19318,-9.55387,1.32675,9.58576,48.91789,-3.08753,62.10893,11.46825,14.72838,-10.12003,83.94155,-22.48997,62.15930,-13.34798,-12.97480,3.15113,39.77749,-27.70214,49.19318,9.28056,-2.62827,9.58576,-48.02823,9.78685,62.10893,-4.57522,18.09733,-10.12003,69.31612,52.41430,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
0.22500,69.44943,62.15041,6.53155,-17.42253,3.64506,40.28518,26.71397,49.40719,-9.60974,1.59940,9.78213,49.66410,-3.70193,62.12444,11.86750,14.42234,-10.82811,83.62482,-22.01535,62.15041,-14.02101,-12.23180,3.64506,39.15544,-28.34403,49.40719,9.21676,-3.15540,9.78213,-48.38244,11.80540,62.12444,-3.59616,18.32782,-10.82811,70.13489,50.58540,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,-0.00200,0.00200,
